Size,DGTSV Time (ms),DGESV Time (ms),Cyclic Sequential Time (ms),Cyclic Parallel Time (ms)
127.0,0.00762939453125,0.0,0.00762939453125,37.306547
255.0,0.014781951904296875,0.0,0.015020370483398438,7.110209
511.0,0.030040740966796875,0.0,0.03552436828613281,0.133343
1023.0,0.06580352783203125,0.0,0.07700920104980469,0.144791
2047.0,0.11134147644042969,0.0,0.1289844512939453,0.184511
4095.0,0.7176399230957031,0.0,0.6330013275146484,0.390322
8191.0,0.6117820739746094,0.0,0.6875991821289062,0.30091999999999997
16383.0,1.1675357818603516,0.0,1.3189315795898438,0.364527
32767.0,2.7692317962646484,0.0,2.873659133911133,0.777642
65535.0,4.866123199462891,0.0,5.9814453125,1.8740269999999999
131071.0,8.303403854370117,0.0,12.901067733764648,67.596588
262143.0,18.660545349121094,0.0,26.323795318603516,145.779154
524287.0,39.7028923034668,0.0,59.685468673706055,227.313655
1048575.0,82.98563957214355,0.0,116.54543876647949,258.834886
2097151.0,124.94945526123047,0.0,220.22318840026855,346.55609999999996
4194303.0,249.1903305053711,0.0,401.3068675994873,620.5583310000001
8388607.0,516.8089866638184,0.0,961.5271091461182,961.0774829999999
16777215.0,1025.8514881134033,0.0,1672.654151916504,1619.4708580000001
33554431.0,1965.5606746673584,0.0,4486.137628555298,2272.019217
