Size,DGTSV Time (ms),DGESV Time (ms),Cyclic Sequential Time (ms),Cyclic Parallel Time (ms)
127.0,0.006198883056640625,0.0,0.006198883056640625,1.33942
255.0,0.014781951904296875,0.0,0.015020370483398438,1.4694420000000001
511.0,0.024318695068359375,0.0,0.02956390380859375,1.670542
1023.0,0.05435943603515625,0.0,0.06341934204101562,11.48351
2047.0,0.11157989501953125,0.0,0.13208389282226562,0.485521
4095.0,0.6201267242431641,0.0,0.5221366882324219,1.131729
8191.0,0.6468296051025391,0.0,0.5831718444824219,1.438344
16383.0,1.1487007141113281,0.0,1.463174819946289,1.481048
32767.0,2.4518966674804688,0.0,2.4657249450683594,1.697142
65535.0,4.503726959228516,0.0,6.082057952880859,2.13239
131071.0,8.614540100097656,0.0,12.599945068359375,2.727154
262143.0,18.599748611450195,0.0,25.353431701660156,4.517486
524287.0,37.25790977478027,0.0,58.042049407958984,11.822913000000002
1048575.0,61.92159652709961,0.0,108.56151580810547,20.343617000000002
2097151.0,118.0119514465332,0.0,214.07270431518555,49.097135
4194303.0,236.76824569702148,0.0,386.49654388427734,137.011247
8388607.0,505.0194263458252,0.0,879.4689178466797,156.92257200000003
16777215.0,1033.2252979278564,0.0,1633.1901550292969,318.433249
33554431.0,1936.1090660095215,0.0,3207.1943283081055,1049.855
