Size,DGTSV Time (ms),DGESV Time (ms),Cyclic Sequential Time (ms),Cyclic Parallel Time (ms)
127.0,0.00762939453125,520.0531482696533,0.008106231689453125,1.5204820000000001
255.0,0.015735626220703125,1466.8209552764893,0.01621246337890625,1.733204
511.0,0.03743171691894531,4313.385963439941,0.03743171691894531,2.1211279999999997
1023.0,0.06628036499023438,6286.171674728394,0.0934600830078125,1.877845
2047.0,0.11849403381347656,9684.673070907593,0.13017654418945312,1.9921079999999998
4095.0,0.6451606750488281,2969.470739364624,0.3159046173095703,2.341616
8191.0,0.7205009460449219,22637.171506881714,0.7126331329345703,1.7447000000000001
16383.0,1.4030933380126953,0.0,1.4667510986328125,1.795791
32767.0,2.815723419189453,0.0,2.917051315307617,18.052754
65535.0,14.549970626831055,0.0,7.7762603759765625,1.719873
131071.0,10.835886001586914,0.0,13.910770416259766,2.965824
262143.0,22.30072021484375,0.0,29.662132263183594,3.047463
524287.0,44.29936408996582,0.0,64.61668014526367,12.36533
1048575.0,69.18168067932129,0.0,115.76199531555176,12.449387
2097151.0,138.65399360656738,0.0,264.74976539611816,25.550145999999998
4194303.0,310.44483184814453,0.0,612.3955249786377,57.69333
8388607.0,556.342363357544,0.0,958.5287570953369,141.38355400000003
16777215.0,1115.940809249878,0.0,1987.2779846191406,257.395227
33554431.0,2310.164213180542,0.0,4322.927474975586,504.43697799999995
67108863.0,4450.719118118286,0.0,6885.157823562622,966.4893169999999
